dataset_id,dataset_name,parent_org,version,dataset_class,primary_domain,secondary_domains,scale,modality,license_type,ring_affinity,organism_placement,routing_priority,wire_protocol,dataset_status
AID-019,GSM8K,OpenAI,1.0,Grade School Math,Math reasoning evaluation,"arithmetic / word problems / multi-step reasoning",Standard (8.5K problems),Text + Math,Open (MIT),Proof Ring,Organism core / reasoning layer,P0 — math benchmark,data-wire/gsm8k,active
AID-020,AlpacaFarm,Stanford,1.0,Instruction-Tuning Dataset,Alignment training,"instruction following / preference learning / RLHF simulation",Standard (52K instructions),Text (Instruction-Response),Open (CC-BY-NC 4.0),Interface Ring,Organism core / reasoning layer,P1 — alignment data,data-wire/alpacafarm,active
AID-021,OASST,LAION / Open Assistant,2.0,Human-Written Conversations,Alignment training,"multi-turn dialogue / preference ranking / safety labels",Standard (160K messages),Text (Conversation),Open (Apache 2.0),Interface Ring,Organism core / reasoning layer,P0 — alignment data,data-wire/oasst,active
AID-022,Anthropic HH-RLHF,Anthropic,1.0,Helpfulness and Harmlessness,Safety alignment,"preference pairs / harmlessness / helpfulness",Standard (170K comparisons),Text (Preference Pairs),Open (MIT),Counsel Ring,Frontend organism / safety layer,P0 — safety data,data-wire/anthropic-hh,active
AID-023,TruthfulQA,Oxford / Anthropic,2.0,Truthfulness Benchmark,Safety evaluation,"factual accuracy / common misconceptions / calibration",Standard (817 questions),Text + Multiple Choice,Open (Apache 2.0),Counsel Ring,Frontend organism / safety layer,P0 — safety benchmark,data-wire/truthfulqa,active
AID-024,BigBench,Google / BIG-bench,2.0,Diverse Capability Benchmark,General evaluation,"200+ tasks / linguistics / math / reasoning / world knowledge",Large (200+ tasks),Text + Various,Open (Apache 2.0),Interface Ring,Organism core / reasoning layer,P1 — general benchmark,data-wire/bigbench,active
AID-025,Dolma,AI2,1.7,Open Pre-training Corpus,Pre-training text,"web / academic / code / encyclopedic / books / social",Frontier (3T tokens),Text,Open (ODC-By + AI2 ImpACT),Sovereign Ring,Organism core / sovereign compute layer,P0 — foundation data,data-wire/dolma,active
AID-026,FineWeb,Hugging Face,1.0,High-Quality Web Corpus,Pre-training text,"web text / quality filtered / deduplicated / educational scored",Frontier (15T tokens),Text,Open (ODC-By),Sovereign Ring,Organism core / sovereign compute layer,P0 — foundation data,data-wire/fineweb,active
AID-027,Arxiv Corpus,Arxiv / Cornell,2024,Scientific Papers,Domain knowledge,"STEM research / LaTeX / citations / abstracts",Large (2.5M papers),Text + Math + Figures,Open (various per paper),Memory Ring,Organism core / knowledge layer,P1 — academic data,data-wire/arxiv,active
AID-028,PubMed / MEDLINE,NIH / NLM,2024,Biomedical Literature,Domain knowledge,"medical / clinical / pharmaceutical / genomics",Large (36M abstracts),Text,Open (public domain),Memory Ring,Frontend organism / knowledge layer,P2 — domain data,data-wire/pubmed,active
AID-029,AgriData Nexus,NOVA / FAO,1.0,Agricultural Intelligence,AgriTech AI,"crop yields / soil composition / weather patterns / satellite imagery",Large (500M records),Tabular + Geospatial + Image,Sovereign (NOVA-internal),Sovereign Ring,Organism core / agronomist layer,P0 — agritech data,data-wire/agridata,active
AID-030,Climate Resilience Corpus,NOVA / IPCC,1.0,Climate Modeling Data,AgriTech AI,"temperature series / precipitation / extreme events / carbon flux",Large (200M records),Tabular + Time Series,Sovereign (NOVA-internal),Sovereign Ring,Organism core / resiliex layer,P0 — climate data,data-wire/climate,active
AID-031,Sovereign Blockchain Corpus,NOVA,1.0,On-Chain Intelligence Data,Blockchain AI,"ICP state / canister metrics / cycle economics / governance votes",Large (continuous stream),Structured + Time Series,Sovereign (NOVA-internal),Build Ring,Organism core / icp_coverage layer,P0 — chain data,data-wire/sovereign-chain,active
AID-032,NOVA Cognitive Traces,NOVA,1.0,Internal AGI Telemetry,Self-Improvement,"heartbeat logs / coherence metrics / Kuramoto phases / organism state",Large (continuous stream),Structured + Time Series,Sovereign (NOVA-internal),Interface Ring,Organism core / brain layer,P0 — self-model data,data-wire/cognitive-trace,active
AID-033,WikiText,Salesforce,103,Language Modeling Benchmark,Text evaluation,"perplexity measurement / token prediction / long-range dependencies",Standard (100M tokens),Text,Open (CC-BY-SA 3.0),Memory Ring,Organism core / knowledge layer,P2 — benchmark data,data-wire/wikitext,active
AID-034,Toxicity / CivilComments,Google Jigsaw,1.0,Toxicity Detection,Safety training,"toxic / obscene / identity attack / insult / threat classification",Standard (2M comments),Text + Labels,Open (CC-0),Counsel Ring,Frontend organism / safety layer,P1 — safety data,data-wire/civilcomments,active
AID-035,MultiNLI,NYU / Williams,1.0,Natural Language Inference,Reasoning benchmark,"textual entailment / contradiction / neutral / genre diversity",Standard (433K pairs),Text Pairs + Labels,Open (OANC license),Interface Ring,Organism core / reasoning layer,P2 — NLI benchmark,data-wire/multinli,active
AID-036,WebGPT Comparisons,OpenAI,1.0,Web-Browsing Preferences,Alignment training,"web search / cited answers / human preference / factual grounding",Standard (20K comparisons),Text + URLs,Open (MIT),Interface Ring,Organism core / reasoning layer,P2 — alignment data,data-wire/webgpt,active
AID-037,Phi-Harmonic Training Set,NOVA,1.0,φ-Weighted Mathematical Data,NOVA-specific training,"golden ratio sequences / Fibonacci optimization / phi-weighted loss",Standard (1M samples),Math + Structured,Sovereign (NOVA-internal),Proof Ring,Organism core / cyclovex layer,P0 — phi data,data-wire/phi-harmonic,active
AID-038,Canister Interaction Graph,NOVA,1.0,Inter-Canister Communication Data,NOVA-specific training,"call patterns / latency / cycle cost / failure modes / topology",Large (continuous stream),Graph + Time Series,Sovereign (NOVA-internal),Build Ring,Organism core / protocol_engine layer,P0 — topology data,data-wire/canister-graph,active
AID-039,Audio Set (AudioSet),Google,2.0,Audio Event Classification,Audio understanding,"sound events / music / speech / environmental audio",Large (2M clips / 10s each),Audio + Labels,Open (CC-BY 4.0),Native Capability Ring,Frontend organism / native runtime layer,P2 — audio data,data-wire/audioset,active
AID-040,Video-Text Pairs (WebVid),Max Planck Institute,10M,Video-Language Corpus,Video understanding,"video captioning / temporal grounding / action recognition",Large (10M clips),Video + Text,Open (research only),Geometry Ring,Frontend organism / scene layer,P2 — video data,data-wire/webvid,active
